frame,avg_reward
214,21.4
365,15.1
499,13.4
614,11.5
735,12.1
849,11.4
964,11.5
1066,10.2
1174,10.8
1281,10.7
1398,11.7
1499,10.1
1626,12.7
1742,11.6
1866,12.4
2007,14.1
2255,24.8
2460,20.5
2707,24.7
3024,31.7
3444,42.0
4088,64.4
5058,97.0
6458,140.0
7916,145.8
9410,149.4
11280,187.0
13432,215.2
15302,187.0
16872,157.0
18292,142.0
19727,143.5
