frame,avg_reward
163,16.3
302,13.9
448,14.6
565,11.7
687,12.2
798,11.1
909,11.1
1007,9.8
1140,13.3
1256,11.6
1353,9.7
1455,10.2
1553,9.8
1657,10.4
1763,10.6
1858,9.5
1951,9.3
2052,10.1
2143,9.1
2260,11.7
2359,9.9
2486,12.7
2641,15.5
2807,16.6
2996,18.9
3396,40.0
4011,61.5
5554,154.3
7462,190.8
9604,214.2
11762,215.8
14312,255.0
16402,209.0
18091,168.9
19907,181.6
